,nome,Tipo,Empresa,Setor,Subsetor,Cotação,Valor de mercado,Valor da firma,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Patrim. Líq
512,BSEV3,ON NM,BIOSEV ON NM,Alimentos Processados,Açucar e Alcool,"9,00",9.183.860.000,15.839.100.000,"56,31","-10,76","4,40","0,89","0,78","-1,59","-1,02","0,0%","3,70","3,70","7,1%","0,16","-0,84","26,0%","20,2%","1,6%","17,6%","20,7%","-19,1%","0,39","-8,95","0,87","0,78",-853.187.000
513,CNTO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,TIET4,PN N2,AES TIETE E PN N2,Energia Elétrica,Energia Elétrica,"3,51",7.004.320.000,12.206.900.000,"6,13","3,15","5,06","3,03","0,64","1.443,57","-1,05","0,0%","6,65","6,65","7,8%","0,57","1,11","74,7%","59,9%","49,9%","12,7%","14,0%","51,4%","1,00","2,67","0,21","0,64",2.222.740.000
515,TIET3,ON N2,AES TIETE E ON N2,Energia Elétrica,Energia Elétrica,"3,49",6.964.410.000,12.167.000.000,"6,09","3,13","5,03","3,01","0,64","1.435,34","-1,05","0,0%","6,63","6,63","7,8%","0,57","1,11","74,7%","59,9%","49,9%","12,7%","14,0%","51,4%","1,00","2,67","0,21","0,64",2.222.740.000
516,CORR4,PN,CORREA RIBEIRO SA COM. IND. PN,Exploração de Imóveis,Exploração de Imóveis,"82,00",1.898.550,-10.115.500,"0,27","0,41","-0,54","5,70","0,12","0,20","2,84","0,0%","2,91","2,91","-42,1%","307,95","201,49","100,0%","-1.057,7%","2.141,1%","-21,8%","-85,4%","152,8%","4,25",-,"0,02","0,12",4.665.000
517,CEPE3,ON,CELPE ON,Energia Elétrica,Energia Elétrica,"128,00",9.550.340.000,16.834.300.000,"154,04","6,41","7,61","1,13","0,72","-39,96","-1,11","0,0%","10,18","10,18","33,2%","0,83","19,97","20,0%","14,9%","0,7%","9,4%","10,4%","4,2%","0,93","5,21","0,63","0,72",1.490.000.000
518,CALI4,PN,CAL S/A PN,Construção Civil,Incorporações,"50,00",186.050.000,224.378.000,"13,22","5,79","12,44","1,18","0,92","8,14","-1,64","0,0%","14,70","14,70","129,0%","3,78","8,63","25,8%","9,5%","9,0%","7,4%","8,3%","43,8%","1,69","1,69","0,78","0,92",32.123.000
519,SNSY6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,CASN4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,EMAE3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,BPAR3,ON,BANPARÁ S.A. ON,Intermediários Financeiros,Bancos,"182,07",1.733.670.000,-,"7,56","0,94",-,-,-,-,-,"0,0%",-,-,"2,4%","24,08","193,58",-,-,"0,0%","0,0%",-,"12,4%",-,-,-,-,1.843.240.000
523,APTI4,PN,ALIPERTI PN,Agropecuária,Agricultura,"3.500,00",66.500.000,51.532.000,"-2,16","0,31","-25,39","1,92","0,14","0,39","-0,89","0,0%","-63,70","-63,70","-3,0%","-1.621,21","11.216,20","92,4%","-7,6%","-89,0%","-0,5%","-0,6%","-14,5%","9,26","0,25","0,07","0,14",213.107.000
524,VSPT3,ON,FERROVIA CENTRO-ATLÂNTICA S.A. ON,Transporte,Transporte Ferroviário,"0,00",0,-,"0,00","0,00",-,-,-,-,-,"0,0%",-,-,"25,4%","0,00","0,00",-,-,-,"0,0%",-,-,-,-,-,-,1.918.720.000
525,MTIG3,ON,IGUAÇU ON,Embalagens,Embalagens,"5,21",637.449.000,674.964.000,"-11,22","-81,36","-21,36","12,69","8,36","-11,54","-9,97","0,0%","-24,76","-24,76","-26,5%","-0,46","-0,06","-16,1%","-59,4%","-113,1%","-39,1%","-47,8%","725,3%","0,27","-4,95","0,66","8,36",-7.835.380
526,FIGE4,PN,INVESTIMENTOS BEMGE PN,Outros,Outros,"38,01",89.855.600,-,"9,98","0,57",-,-,-,-,-,"0,1%",-,-,"22,1%","3,81","66,67",-,-,"0,0%","0,0%",-,"5,7%",-,-,-,-,157.596.000
527,LUXM3,ON,TREVISA INVESTIMENTOS SA ON,Transporte,Transporte Hidroviário,"10,00",207.840.000,199.742.000,"13,14","1,72","8,24","1,52","1,25","3.056,47","-9,41","0,0%","5,03","5,03","4,1%","0,76","5,81","31,6%","18,5%","11,6%","15,2%","16,9%","13,1%","1,00","0,03","0,82","1,25",120.715.000
528,TKNO3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
529,COCE6,PNB,CIA ENERG CEARA - COELCE PNB,Energia Elétrica,Energia Elétrica,"35,00",2.724.920.000,8.202.640.000,"5,07","0,64","1,87","0,31","0,21","-1,58","-0,46","0,0%","4,15","4,15","15,9%","6,91","54,49","19,8%","16,7%","6,2%","11,1%","12,7%","12,7%","0,64","1,37","0,66","0,21",4.242.320.000
530,MGEL3,ON,MANGELS ON,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,"25,00",144.580.000,675.362.000,"0,68","6,14","2,21","0,15","0,18","1,16","-0,37","0,0%","7,86","7,86","19,6%","36,83","4,07","11,8%","7,0%","22,8%","8,0%","10,5%","904,0%","1,45","28,33","1,15","0,18",23.562.000
531,CTSA8,PND,SANTANENSE PND,"Tecidos, Vestuário e Calçados",Fios e Tecidos,"1,00",27.825.000,204.023.000,"-0,57","0,12","-0,48","0,26","0,04","0,54","-0,13","0,0%","-4,28","-4,28","-24,8%","-1,77","8,28","-22,4%","-54,3%","-45,7%","-9,3%","-10,7%","-21,4%","1,37","0,91","0,17","0,04",230.512.000
532,MMAQ4,PN,MINASMÁQUINAS S/A PN,Comércio,Material de Transporte,"200,06",9.002.700,134.669.000,"0,27","0,04","-1,82","0,01","0,02","0,05","0,06","0,0%","-27,28","-27,28","30,3%","741,31","5.666,16","8,7%","-0,5%","3,4%","-1,0%","-1,2%","13,1%","1,69","0,72","1,96","0,02",254.977.000
