,nome,Tipo,Empresa,Setor,Subsetor,Cotação,Valor de mercado,Valor da firma,P/L,P/VP,P/EBIT,PSR,P/Ativos,P/Cap. Giro,P/Ativ Circ Liq,Div. Yield,EV / EBITDA,EV / EBIT,Cres. Rec (5a),LPA,VPA,Marg. Bruta,Marg. EBIT,Marg. Líquida,EBIT / Ativo,ROIC,ROE,Liquidez Corr,Div Br/ Patrim,Giro Ativos,Ativo,Patrim. Líq
27,POMO4,PN N2,MARCOPOLO PN N2,Material de Transporte,Material Rodoviário,"7,05",6.675.600.000,7.708.670.000,"8,38","1,98","8,21","1,04","0,88","2,70","16,05","4,7%","8,13","8,13","10,5%","0,84","3,56","21,7%","12,7%","12,5%","10,7%","14,6%","23,6%","2,16","0,73","0,84","0,88",3.369.750.000
28,CPLE3,ON,COPEL ON,Energia Elétrica,Energia Elétrica,"9,49",28.306.900.000,37.889.300.000,"14,15","1,22","8,27","1,28","0,51","6,56","-1,50","3,2%","7,91","7,91","10,2%","0,67","7,80","21,0%","15,5%","9,1%","6,1%","7,1%","8,6%","1,48","0,65","0,40","0,51",23.253.100.000
29,ALPA4,PN N1,ALPARGATAS PN N1,"Tecidos, Vestuário e Calçados",Calçados,"10,12",6.912.590.000,7.741.120.000,"-24,55","1,28","68,17","1,81","0,87","3,11","11,61","0,0%","26,31","26,31","0,8%",Cotação,"7,89","40,4%","2,6%","-7,4%","1,3%","1,5%","-5,2%","3,51","0,28","0,48","0,87",5.390.030.000
30,CMIG4,PN N1,CEMIG PN N1,Energia Elétrica,Energia Elétrica,"11,48",25.271.700.000,33.209.600.000,"4,78","1,03","3,07","0,70","0,45","7,89","-1,42","11,2%","3,51","3,51","11,9%","2,40","11,10","24,7%","22,8%","14,7%","14,7%","16,7%","21,6%","1,30","0,50","0,64","0,45",24.427.800.000
31,AZUL4,PN,AZUL PN,Transporte,Transporte Aéreo,"16,01",5.572.830.000,30.748.500.000,"-4,56","-0,26","2,20","0,31","0,28","-0,69","-0,16","0,0%","6,24","6,24","19,7%","-3,51","-61,15","21,1%","14,0%","-6,7%","12,9%","15,6%","5,7%","0,42","-1,25","0,92","0,28",-21.286.100.000
32,CPLE6,PNB,COPEL PNB,Energia Elétrica,Energia Elétrica,"10,36",30.901.900.000,40.484.400.000,"15,44","1,33","9,03","1,40","0,55","7,16","-1,64","3,2%","8,46","8,46","10,2%","0,67","7,80","21,0%","15,5%","9,1%","6,1%","7,1%","8,6%","1,48","0,65","0,40","0,55",23.253.100.000
33,ENEV3,ON,ENEVA ON,Energia Elétrica,Energia Elétrica,"13,61",21.564.300.000,37.630.500.000,"64,99","1,67","9,60","2,23","0,44","12,26","-0,96","0,0%","9,84","9,84","35,9%","0,21","8,17","36,0%","23,2%","3,6%","4,6%","5,6%","2,6%","1,18","1,83","0,20","0,44",12.943.500.000
34,PDGR3,ON NM,PDG REALT ON NM,Construção Civil,Incorporações,"0,45",35.003.700,1.406.580.000,"-0,04","-0,01","-2,04","0,26","0,03","-0,01","-0,01","0,0%","-85,53","-85,53","-0,9%","-11,88","-69,17","60,9%","-12,7%","-685,3%","-1,6%","-2,4%","17,2%","0,22","-0,27","0,13","0,03",-5.380.590.000
35,VBBR3,ON,VIBRA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","22,76",26.515.400.000,36.082.400.000,"13,03","1,96","6,70","0,16","0,65","2,10","-5,15","3,7%","8,01","8,01","20,2%","1,75","11,64","4,6%","2,4%","1,2%","9,7%","13,0%","15,0%","2,31","1,18","4,01","0,65",13.555.000.000
36,FLRY3,ON NM,FLEURY ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"18,04",9.871.330.000,12.971.600.000,"26,43","1,91","11,78","1,68","0,86","10,72","-2,82","2,4%","8,96","8,96","21,1%","0,68","9,46","27,0%","14,2%","6,3%","7,3%","8,4%","7,2%","1,48","0,79","0,51","0,86",5.177.130.000
37,PRIO3,ON,PETRORIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","46,05",40.856.900.000,49.153.400.000,"8,96","3,17","7,24","4,03","1,43","33,25","-3,88","0,2%","6,52","6,52","74,0%","5,14","14,54","62,3%","55,6%","44,9%","19,8%","22,0%","35,3%","1,32","0,82","0,36","1,43",12.901.100.000
38,USIM5,PNA N1,USIMINAS PNA N1,Siderurgia e Metalurgia,Siderurgia,"9,29",11.641.100.000,11.989.500.000,"-24,99","0,50","9,02","0,41","0,29","0,87","2,44","3,5%","5,22","5,22","24,3%","-0,37","18,71","8,5%","4,5%","-0,6%","3,2%","4,0%","-2,0%","3,43","0,26","0,71","0,29",23.446.300.000
39,VVEO3,ON NM,VIVEO ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,"13,95",4.503.350.000,6.127.120.000,"27,82","1,44","7,36","0,42","0,45","1,48","-5,15","0,0%","8,63","8,63","39,6%","0,50","9,69","15,9%","5,7%","1,5%","6,1%","9,0%","5,2%","2,04","1,06","1,08","0,45",3.129.440.000
40,GOLL4,PN,GOL LINHAS AEREAS INTELIGENTES SA PN,Transporte,Transporte Aéreo,"8,97",3.756.090.000,13.270.500.000,"35,32","-0,17","1,78","0,20","0,22","-0,36","-0,11","0,0%","3,49","3,49","12,1%","0,25","-52,61","29,0%","11,4%","0,6%","12,3%","14,9%","-0,5%","0,25","-0,47","1,07","0,22",-22.029.000.000
41,MLAS3,ON NM,MULTILASER ON NM,Computadores e Equipamentos,Computadores e Equipamentos,"2,09",1.714.930.000,1.755.060.000,"-2,39","0,48","-2,36","0,45","0,29","0,55","0,80","0,0%","-2,67","-2,67","-7,8%","-0,87","4,32","12,5%","-19,3%","-19,0%","-12,5%","-16,5%","-20,2%","3,45","0,26","0,65","0,29",3.542.230.000
42,MRFG3,ON NM,Marfrig ON NM,Alimentos Processados,Carnes e Derivados,"9,70",9.040.400.000,41.193.500.000,"-4,18","1,47","10,72","0,07","0,07","0,94","-0,17","0,0%","5,42","5,42","32,7%","-2,32","6,58","10,0%","0,6%","-4,0%","0,6%","0,9%","-35,3%","1,22","9,09","1,02","0,07",6.129.530.000
43,NTCO3,ON NM,GRUPO NATURA ON NM,Produtos de Uso Pessoal e de Limpeza,Produtos de Uso Pessoal,"16,89",23.423.900.000,22.861.400.000,"4,93","0,84","15,14","0,71","0,46","2,98","-4,63","0,0%","5,76","5,76","-5,9%","3,43","20,21","65,0%","4,7%","14,4%","3,1%","4,0%","16,9%","1,82","0,22","0,65","0,46",28.029.100.000
44,BBAS3,ON,BANCO DO BRASIL S.A. ON,Intermediários Financeiros,Bancos,"55,39",158.715.000.000,-,"4,75","0,99",-,-,-,-,-,"8,2%",-,-,"23,8%","11,67","56,01",-,-,"0,0%","0,0%",-,"20,8%",-,-,-,-,160.489.000.000
45,CMIN3,ON N2,CSNMINERACAO ON N2,Mineração,Minerais Metálicos,"7,83",42.950.200.000,40.764.100.000,"13,94","3,75","7,33","2,48","1,45","4,81","-9,12","8,9%","5,91","5,91","-9,6%","0,56","2,09","46,7%","33,8%","17,8%","19,8%","33,7%","26,9%","2,96","0,74","0,59","1,45",11.444.200.000
46,RCSL3,ON,RECRUSUL ON,Material de Transporte,Material Rodoviário,"2,40",305.494.000,305.445.000,"-22,09","2.633,57","-154,37","4,94","4,98","36,70","-9,81","0,0%","-436,97","-436,97","41,9%","-0,11","0,00","12,7%","-3,2%","-22,7%","-3,2%","-3,4%","-11.920,7%","1,38",-,"1,01","4,98",116.000
47,GOAU4,PN N1,METALÚRGICA GERDAU PN N1,Siderurgia e Metalurgia,Siderurgia,"10,86",11.215.200.000,15.713.400.000,"4,09","0,62","1,08","0,16","0,14","0,53","1,79","14,7%","1,17","1,17","21,0%","2,66","17,38","17,5%","14,3%","11,3%","13,4%","16,0%","15,3%","3,02","0,64","0,93","0,14",17.948.100.000
48,BRFS3,ON NM,BRF Foods ON NM,Alimentos Processados,Carnes e Derivados,"13,81",23.235.000.000,34.153.400.000,"-6,29","1,65","983,34","0,43","0,39","3,66","-1,47","0,0%","10,75","10,75","17,1%","-2,19","8,39","15,0%","0,0%","-6,6%","0,0%","0,1%","-26,1%","1,29","1,58","0,91","0,39",14.121.800.000
49,CBAV3,ON NM,CBA ON NM,Mineração,Minerais Metálicos,"5,10",3.038.750.000,6.181.670.000,"-7,80","0,64","-9,55","0,41","0,23","1,11","-0,85","6,8%","24,34","24,34","-20,3%","-0,65","8,03","1,7%","-4,3%","-4,1%","-2,4%","-2,8%","-8,1%","2,26","0,93","0,55","0,23",4.784.200.000
50,PCAR3,ON,PÃO DE AÇÚCAR ON,Comércio e Distribuição,Alimentos,"4,06",1.096.760.000,3.407.760.000,"-0,36","0,22","-3,93","1,62","0,05","0,58","-0,11","0,0%","15,15","15,15","-60,5%","-11,36","18,57","-5,9%","-41,2%","-426,8%","-1,2%","-1,7%","-61,2%","1,32","1,21","0,03","0,05",5.016.000.000
51,BEEF3,ON NM,Minerva ON NM,Alimentos Processados,Carnes e Derivados,"7,47",4.536.400.000,13.500.800.000,"12,43","7,22","2,26","0,16","0,18","0,64","-0,47","7,4%","5,35","5,35","16,4%","0,60","1,03","19,9%","7,3%","1,3%","7,7%","15,9%","58,1%","1,87","30,93","1,06","0,18",627.948.000
52,MTRE3,ON NM,MITRE REALTY ON NM,Construção Civil,Incorporações,"6,16",651.574.000,1.173.620.000,"7,54","0,67","12,58","0,72","0,30","0,58","1,02","12,3%","19,72","19,72","32,4%","0,82","9,24","21,9%","5,7%","9,4%","2,4%","2,6%","8,8%","2,65","0,63","0,42","0,30",976.846.000
53,RAIL3,ON NM,RUMO S.A. ON NM,Transporte,Transporte Ferroviário,"22,95",42.569.200.000,54.675.200.000,"44,24","2,67","12,86","4,04","0,86","7,48","-1,96","0,3%","10,13","10,13","11,3%","0,52","8,59","36,8%","31,4%","9,1%","6,7%","7,9%","6,0%","1,99","1,20","0,21","0,86",15.936.700.000
54,ANIM3,ON NM,ANIMA ON NM,Diversos,Serviços Educacionais,"4,46",1.801.260.000,5.801.940.000,"-19,31","0,71","2,92","0,49","0,18","10,30","-0,36","0,0%","4,98","4,98","38,6%","-0,23","6,32","58,0%","16,8%","1,6%","6,2%","7,1%","-3,7%","1,10","1,98","0,37","0,18",2.551.290.000
55,GMAT3,ON NM,GRUPO MATEUS ON NM,Comércio e Distribuição,Alimentos,"7,18",15.863.100.000,18.399.400.000,"13,88","1,91","12,44","0,63","1,05","2,60","6,02","0,0%","11,13","11,13","29,5%","0,52","3,75","21,6%","5,0%","4,6%","8,5%","11,0%","13,8%","2,90","0,44","1,68","1,05",8.287.380.000
56,ELET3,ON,ELETROBRÁS ON,Energia Elétrica,Energia Elétrica,"42,43",97.890.200.000,137.050.000.000,"30,57","0,87","9,33","2,78","0,35","3,61","-0,93","0,5%","9,72","9,72","19,4%","1,39","49,03","50,0%","29,8%","8,6%","3,8%","4,3%","2,8%","1,88","0,63","0,13","0,35",113.118.000.000
57,SIMH3,ON NM,SIMPAR ON NM,Holdings Diversificadas,Holdings Diversificadas,"9,63",8.073.870.000,41.225.500.000,"155,47","2,31","1,42","0,26","0,13","0,96","-0,22","0,2%","4,96","4,96","57,4%","0,06","4,17","28,1%","18,5%","1,2%","9,1%","11,2%","1,5%","1,75","11,75","0,49","0,13",3.498.440.000
58,ASAI3,ON NM,ASSAI ON NM,Comércio e Distribuição,Alimentos,"13,53",18.290.300.000,27.967.300.000,"22,33","4,23","4,23","0,29","0,44","-5,36","-0,77","0,4%","4,91","4,91","58,8%","0,61","3,20","16,4%","6,7%","1,3%","10,5%","17,5%","18,9%","0,79","3,26","1,55","0,44",4.325.000.000
59,GGBR4,PN N1,GERDAU S.A. PN N1,Siderurgia e Metalurgia,Siderurgia,"23,76",41.747.900.000,47.223.300.000,"5,13","0,83","4,03","0,58","0,55","2,05","7,92","6,7%","3,52","3,52","21,0%","4,63","28,80","17,5%","14,4%","11,3%","13,6%","16,0%","16,1%","2,93","0,23","0,94","0,55",50.600.900.000
60,CLSA3,ON NM,CLEARSALE ON NM,Serviços Financeiros Diversos,Serviços Financeiros Diversos,"3,75",704.723.000,331.308.000,"-25,13","0,98","-8,43","1,35","0,78","1,65","1,73","0,0%","-8,12","-8,12","6,4%","-0,15","3,81","34,4%","-16,0%","-5,4%","-9,3%","-18,3%","-3,9%","3,59","0,06","0,58","0,78",716.090.000
61,RCSL4,PN,RECRUSUL PN,Material de Transporte,Material Rodoviário,"0,88",112.014.000,111.965.000,"-8,10","965,64","-56,60","1,81","1,83","13,46","-3,60","0,0%","-160,18","-160,18","41,9%","-0,11","0,00","12,7%","-3,2%","-22,7%","-3,2%","-3,4%","-11.920,7%","1,38",-,"1,01","1,83",116.000
62,UGPA3,ON,ULTRAPAR PARTICIPAÇÕES SA ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","26,51",29.564.300.000,37.227.800.000,"13,67","2,33","6,38","0,23","0,81","3,65","-5,77","1,3%","6,51","6,51","13,0%","1,94","11,39","6,8%","3,6%","1,7%","12,7%","18,4%","17,0%","1,81","1,10","3,53","0,81",12.701.500.000
63,RRRP3,ON NM,3R PETROLEUM ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","26,28",6.306.800.000,14.066.700.000,"-171,46","1,22","7,03","1,50","0,33","109,41","-0,55","0,0%","9,97","9,97","153,8%","-0,15","21,61","31,7%","21,3%","-1,5%","4,7%","5,0%","-0,7%","1,02","1,65","0,22","0,33",5.185.410.000
64,OIBR3,ON N1,OI ON N1,Telecomunicações,Telecomunicações,"0,64",422.594.000,23.142.500.000,"-0,02","-0,02","-0,11","0,04","0,01","-0,11","-0,01","0,0%","-12,25","-12,25","-17,5%","-34,24","-40,62","-3,7%","-39,6%","-224,7%","-13,4%","-17,9%","84,3%","0,72","-0,94","0,34","0,01",-26.822.900.000
65,CSAN3,ON,COSAN SA INDUSTRIA E COMERCIO ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","19,36",36.282.000.000,83.457.300.000,"-78,52","1,96","5,26","0,89","0,26","3,37","-0,58","2,2%","8,16","8,16","39,1%","-0,25","9,86","26,7%","17,0%","6,4%","5,0%","5,8%","-2,5%","1,62","3,37","0,29","0,26",18.481.500.000
66,BHIA3,ON,CASAS BAHIA ON,Comércio,Eletrodomésticos,"11,38",1.082.040.000,8.094.040.000,"-0,61","0,24","0,74","0,04","0,03","-0,23","-0,07","0,0%","3,13","3,13","4,6%","-18,80","46,63","29,0%","4,8%","-5,9%","4,5%","6,2%","-40,3%","0,74","1,95","0,94","0,03",4.434.000.000
67,RADL3,ON,RAIADROGASIL ON,Comércio e Distribuição,Medicamentos e Outros Produtos,"29,40",50.509.400.000,52.994.300.000,"46,80","8,83","25,20","1,54","2,61","13,95","-22,24","1,0%","14,56","14,56","18,6%","0,63","3,33","30,0%","6,1%","3,3%","10,3%","14,2%","18,9%","1,47","0,54","1,70","2,61",5.721.820.000
68,TIMS3,ON NM,TIM ON NM,Telecomunicações,Telecomunicações,"17,93",43.405.000.000,43.795.800.000,"18,93","1,70","9,80","1,86","0,78","-15,06","-2,22","5,1%","3,76","3,76","11,2%","0,95","10,56","51,0%","18,9%","9,8%","7,9%","9,3%","9,0%","0,79","0,19","0,42","0,78",25.574.100.000
69,WEGE3,ON N1,WEG SA ON N1,Máquinas e Equipamentos,"Motores, Compressores e Outros","36,91",154.923.000.000,152.048.000.000,"29,91","9,61","22,26","4,85","5,15","16,10","21,31","1,7%","20,08","20,08","27,1%","1,23","3,84","32,4%","21,8%","16,6%","23,1%","31,6%","32,1%","1,86","0,18","1,06","5,15",16.123.000.000
70,AURE3,ON NM,AUREN ON NM,Energia Elétrica,Energia Elétrica,"13,31",13.310.000.000,14.617.900.000,"6,56","0,95","15,46","2,23","0,43","3,58","-1,41","22,5%","10,07","10,07","21,6%","2,03","13,96","21,1%","14,4%","34,0%","2,8%","3,4%","14,5%","1,92","0,44","0,19","0,43",13.962.400.000
71,ONCO3,ON NM,ONCOCLINICAS ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"13,00",6.857.260.000,9.871.050.000,"31,27","3,10","8,90","1,30","0,80","7,86","-2,10","0,0%","9,82","9,82","44,8%","0,42","4,20","35,9%","14,6%","6,1%","8,9%","10,7%","9,9%","1,48","1,63","0,61","0,80",2.215.000.000
72,AMAR3,ON NM,LOJAS MARISA ON NM,Comércio,"Tecidos, Vestuário e Calçados","3,72",255.077.000,1.368.240.000,"-0,35","2,37","-2,64","0,11","0,10","-0,78","-0,18","0,0%","10,57","10,57","-2,3%","-10,58","1,57","34,3%","-4,3%","-32,4%","-3,9%","-5,4%","-673,2%","0,75","12,27","0,90","0,10",107.804.000
73,CCRO3,ON NM,COMPANHIA DE CONCESSÕES RODOVIÁRIAS ON NM,Transporte,Exploração de Rodovias,"14,18",28.643.600.000,51.298.300.000,"30,67","2,26","5,27","1,73","0,54","22,19","-1,01","1,4%","7,52","7,52","17,2%","0,46","6,28","42,9%","32,8%","5,9%","10,3%","12,2%","7,4%","1,13","2,39","0,31","0,54",12.677.100.000
74,CYRE3,PN,CYRELA BRAZIL REALTY PN,Construção Civil,Incorporações,"24,08",9.625.810.000,11.899.800.000,"10,67","1,24","12,32","1,63","0,57","1,66","30,01","3,5%","14,68","14,68","11,2%","2,26","19,47","32,1%","13,2%","15,2%","4,6%","5,5%","11,6%","2,93","0,63","0,35","0,57",7.782.360.000
75,RENT3,ON,LOCALIZA RENT A CAR ON,Diversos,Aluguel de carros,"63,60",67.930.800.000,96.157.500.000,"43,96","2,70","12,80","2,53","0,92","261,01","-2,03","2,3%","9,93","9,93","27,0%","1,45","23,59","29,0%","19,7%","5,7%","7,2%","9,0%","6,1%","1,02","1,46","0,36","0,92",25.191.500.000
76,BBDC3,ON N1,BANCO BRADESCO S.A. ON N1,Intermediários Financeiros,Bancos,"15,28",162.612.000.000,-,"10,95","1,01",-,-,-,-,-,"10,1%",-,-,"-14,5%","1,40","15,11",-,-,"0,0%","0,0%",-,"9,2%",-,-,-,-,160.801.000.000
77,VIVA3,ON NM,VIVARA S.A. ON NM,"Tecidos, Vestuário e Calçados",Acessórios,"34,25",8.089.780.000,8.157.330.000,"21,13","4,31","19,32","3,94","2,68","6,99","13,77","1,1%","14,91","14,91","29,3%","1,62","7,95","69,6%","20,4%","18,6%","13,9%","15,6%","20,4%","3,01","0,15","0,68","2,68",1.876.600.000
78,RDOR3,ON NM,REDE D OR ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"28,76",65.840.100.000,67.882.500.000,"39,20","2,89","13,09","1,62","0,69","2,34","-2,43","1,3%","9,93","9,93","41,8%","0,73","9,95","17,3%","12,4%","4,4%","5,2%","8,0%","7,4%","2,70","1,48","0,42","0,69",22.773.400.000
79,ECOR3,ON NM,ECORODOVIAS ON NM,Transporte,Exploração de Rodovias,"9,42",6.559.470.000,19.467.600.000,"11,70","2,38","2,43","0,81","0,28","-6,79","-0,39","0,9%","5,67","5,67","20,3%","0,80","3,96","37,3%","33,3%","7,2%","11,4%","13,4%","20,3%","0,81","5,85","0,34","0,28",2.755.580.000
80,CSNA3,ON,CSN ON,Siderurgia e Metalurgia,Siderurgia,"19,66",26.071.000.000,53.198.000.000,"-29,62","1,47","3,68","0,59","0,29","2,36","-0,71","10,0%","5,11","5,11","17,9%","-0,66","13,39","26,0%","15,9%","-0,6%","8,0%","10,9%","-5,0%","1,53","2,45","0,50","0,29",17.762.500.000
81,EQTL3,ON NM,EQUATORIAL ENERGIA S.A. ON NM,Energia Elétrica,Energia Elétrica,"35,72",40.911.800.000,76.799.200.000,"21,98","2,09","4,95","1,09","0,41","10,78","-0,79","1,0%","7,70","7,70","23,0%","1,63","17,09","30,1%","21,9%","7,1%","8,4%","9,7%","9,5%","1,19","2,31","0,38","0,41",19.573.900.000
82,LJQQ3,ON NM,QUERO-QUERO ON NM,Comércio,Produtos Diversos,"6,28",1.176.180.000,1.159.030.000,"-31,86","2,33","23,18","0,50","0,39","1,25","-2,28","0,0%","6,69","6,69","9,4%","-0,20","2,69","34,1%","2,2%","-1,6%","1,7%","2,1%","-7,3%","1,86","0,73","0,77","0,39",503.826.000
83,TUPY3,ON,TUPY ON,Material de Transporte,Material Rodoviário,"29,08",4.192.700.000,6.439.760.000,"10,29","1,28","4,57","0,37","0,42","1,31","-7,04","2,7%","5,06","5,06","26,9%","2,83","22,67","17,2%","8,1%","3,7%","9,2%","12,3%","12,5%","2,10","1,04","1,13","0,42",3.268.350.000
84,ENAT3,ON,ENAUTA PART ON,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","20,09",5.340.060.000,5.975.500.000,"77,22","1,38","13,36","3,30","0,65","5,15","-2,82","0,7%","7,00","7,00","17,2%","0,26","14,58","36,9%","24,7%","4,3%","4,9%","7,0%","1,8%","1,77","0,68","0,20","0,65",3.876.330.000
85,STBP3,ON NM,SBPAR ON NM,Transporte,Serviços de Apoio e Armazenagem,"9,37",8.097.280.000,7.949.940.000,"20,13","3,69","13,92","4,18","1,77","35,51","-5,32","4,7%","9,96","9,96","24,0%","0,47","2,54","46,6%","30,0%","20,8%","12,7%","14,9%","18,4%","1,35","0,19","0,42","1,77",2.191.630.000
86,MDIA3,ON NM,M.DIASBRANCO ON NM,Alimentos Processados,Alimentos Diversos,"38,63",13.095.600.000,13.413.100.000,"23,29","1,80","15,03","1,21","1,10","4,50","17,90","1,6%","10,96","10,96","15,7%","1,66","21,52","30,2%","8,0%","5,2%","7,3%","9,8%","7,7%","2,19","0,30","0,91","1,10",7.295.590.000
87,TOTS3,ON NM,TOTVS ON NM,Programas e Serviços,Programas e Serviços,"33,69",20.792.900.000,19.445.100.000,"27,19","4,41","13,22","4,92","2,37","8,15","195,60","1,9%","10,54","10,54","17,9%","1,24","7,64","70,4%","37,2%","18,7%","18,0%","28,3%","16,2%","2,97","0,36","0,48","2,37",4.712.480.000
88,HBSA3,ON NM,HIDROVIAS ON NM,Transporte,Transporte Hidroviário,"3,94",2.995.910.000,6.555.320.000,"56,42","1,89","6,51","1,49","0,47","3,64","-0,87","0,0%","7,99","7,99","10,9%","0,07","2,09","38,6%","22,9%","2,6%","7,2%","8,4%","3,3%","2,44","2,75","0,31","0,47",1.585.400.000
89,SMFT3,ON NM,SMART FIT ON NM,Viagens e Lazer,Atividades Esportivas,"26,03",15.259.900.000,15.957.400.000,"33,76","3,24","35,38","7,21","1,16","13,84","-3,06","1,7%","10,43","10,43","9,8%","0,77","8,04","40,8%","20,4%","21,5%","3,3%","4,3%","9,6%","1,47","0,74","0,16","1,16",4.713.060.000
90,CRFB3,ON NM,CARREFOUR BR ON NM,Comércio e Distribuição,Alimentos,"12,45",26.248.300.000,43.070.300.000,"133,92","1,33","6,26","0,24","0,30","-6,74","-0,95","1,2%","6,98","6,98","17,5%","0,09","9,38","19,2%","3,8%","0,4%","4,8%","6,1%","1,0%","0,91","1,05","1,26","0,30",19.775.000.000
91,AMBP3,ON NM,AMBIPAR ON NM,Água e Saneamento,Água e Saneamento,"16,25",2.714.430.000,7.229.900.000,"-21,39","2,74","2,84","0,58","0,26","1,08","-0,63","0,6%","5,36","5,36","79,7%","-0,76","5,92","23,5%","20,2%","-0,6%","9,1%","12,7%","-12,8%","2,30","7,15","0,45","0,26",989.635.000
92,JHSF3,ON NM,JHSF Part ON NM,Construção Civil,Incorporações,"5,57",3.783.860.000,6.344.990.000,"10,57","0,75","8,18","2,51","0,35","1,91","-1,64","8,1%","12,16","12,16","29,7%","0,53","7,42","53,4%","30,7%","23,9%","4,3%","4,5%","7,1%","2,85","0,61","0,14","0,35",5.040.500.000
93,AESB3,ON NM,AES BRASIL ON NM,Energia Elétrica,Energia Elétrica,"12,32",7.415.740.000,16.641.900.000,"47,00","1,66","7,96","2,30","0,37","22,70","-0,68","0,0%","10,18","10,18","62,2%","0,26","7,43","35,5%","28,9%","11,1%","4,7%","5,5%","3,5%","1,11","2,62","0,16","0,37",4.469.480.000
94,TEND3,ON NM,Tenda ON NM,Construção Civil,Incorporações,"14,83",1.825.480.000,2.341.360.000,"-7,89","2,04","19,03","0,66","0,40","3,57","-1,21","0,0%","15,04","15,04","9,1%","-1,88","7,27","18,3%","3,5%","-8,6%","2,1%","2,6%","-25,8%","1,31","1,41","0,61","0,40",895.290.000
95,JBSS3,ON NM,JBS ON NM,Alimentos Processados,Carnes e Derivados,"24,91",55.253.300.000,135.642.000.000,"45,81","1,32","-1,02","0,15","0,26","1,56","-0,67","4,0%","-3,09","-3,09","17,9%","0,54","18,92","-5,6%","-15,1%","0,4%","-25,4%","-34,4%","2,9%","1,70","2,58","1,68","0,26",41.972.500.000
96,SUZB3,ON,Suzano Papel ON,Madeira e Papel,Papel e Celulose,"55,63",73.660.700.000,131.738.000.000,"4,32","1,76","5,19","1,68","0,52","2,99","-1,20","2,1%","6,09","6,09","20,0%","12,86","31,54","42,6%","32,4%","39,0%","10,0%","12,3%","40,8%","2,82","1,88","0,31","0,52",41.762.300.000
97,DIRR3,ON NM,Direcional Engenharia ON NM,Construção Civil,Incorporações,"22,39",3.884.670.000,3.860.370.000,"13,40","2,01","9,96","1,72","0,54","1,61","-2,24","2,1%","8,58","8,58","13,0%","1,67","11,15","33,6%","17,3%","15,3%","5,4%","6,8%","15,0%","3,56","0,68","0,31","0,54",1.934.470.000
98,BBSE3,ON NM,BBSEGURIDADE ON NM,Previdência e Seguros,Seguradoras,"33,65",67.300.000.000,-,"8,79","6,31","7,75",-,"4,14",-,-,"10,3%",-,-,-,"3,83","5,33",-,-,"0,0%","53,5%",-,"71,8%",-,-,-,"4,14",10.663.200.000
99,LIGT3,ON,LIGHT SA ON,Energia Elétrica,Energia Elétrica,"8,00",2.980.440.000,11.797.500.000,"-0,56","0,98","-2,10","0,22","0,13","-0,28","-0,19","0,0%","-18,13","-18,13","2,3%","-14,20","8,18","16,5%","-10,7%","-39,8%","-6,1%","-7,1%","-173,5%","0,29","3,46","0,57","0,13",3.048.560.000
100,PGMN3,ON NM,PAGUE MENOS ON NM,Comércio e Distribuição,Medicamentos e Outros Produtos,"3,96",2.145.450.000,3.355.690.000,"33,95","0,84","6,11","0,20","0,25","1,51","-1,24","3,8%","3,81","3,81","14,3%","0,12","4,72","31,9%","3,2%","-0,9%","4,0%","5,4%","2,5%","1,48","0,68","1,26","0,25",2.557.500.000
101,QUAL3,ON NM,QUALICORP ON NM,Serv.Méd.Hospit. Análises e Diagnósticos,Serv.Méd.Hospit. Análises e Diagnósticos,"3,40",965.648.000,2.264.180.000,"-24,10","0,73","2,31","0,54","0,21","4,35","-0,56","2,3%","2,58","2,58","-1,9%","-0,14","4,67","77,2%","23,3%","-1,8%","8,9%","12,6%","-3,0%","1,16","1,76","0,38","0,21",1.326.160.000
102,RECV3,ON NM,PETRORECONCA ON NM,"Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição","21,72",6.370.070.000,6.568.730.000,"6,84","1,44","6,82","2,20","0,92","46,48","-5,37","4,6%","4,53","4,53","16,8%","3,17","15,10","37,0%","32,2%","32,1%","13,5%","16,1%","21,0%","1,12","0,21","0,42","0,92",4.429.210.000
103,BRKM5,PNA N1,BRASKEM PNA N1,Químicos,Petroquímicos,"21,86",17.427.000.000,41.275.500.000,"-3,70","3,47","-5,74","0,24","0,19","1,33","-0,35","0,0%","18,64","18,64","13,7%","-5,91","6,30","2,7%","-4,2%","-6,9%","-3,3%","-5,1%","-93,9%","1,54","8,47","0,79","0,19",5.022.600.000
